City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
134,Yazoo City,US,2020-11-02 03:26:55,32.86,-90.41,53.6,50,1,4.7
135,Iquitos,PE,2020-11-02 03:26:55,-3.75,-73.25,72.66,91,52,1.41
136,Labuhan,ID,2020-11-02 03:26:55,-6.88,112.21,85.44,65,99,5.75
137,Sarkand,KZ,2020-11-02 03:26:55,45.41,79.92,47.23,44,45,2.77
138,Ridgecrest,US,2020-11-02 03:26:55,35.62,-117.67,66.99,12,19,2.42
139,Saskylakh,RU,2020-11-02 03:26:55,71.92,114.08,-10.12,88,51,10.36
140,Krasnoselkup,RU,2020-11-02 03:26:55,65.7,82.47,22.53,97,99,14.97
141,Rodrigues Alves,BR,2020-11-02 03:26:56,-7.74,-72.65,74.3,78,83,1.99
142,Cidreira,BR,2020-11-02 03:26:56,-30.18,-50.21,61.56,65,11,5.66
143,Synya,RU,2020-11-02 03:26:56,65.37,58.04,25.97,97,99,6.22
144,Pasighat,IN,2020-11-02 03:26:56,28.07,95.33,79.38,59,98,2.44
145,Yermish,RU,2020-11-02 03:26:56,54.77,42.27,41.9,93,97,9.1
146,Rasulnagar,PK,2020-11-02 03:26:56,32.33,73.78,57.2,76,0,2.48
147,Hilo,US,2020-11-02 03:25:16,19.73,-155.09,82.4,65,1,4.7
148,Antofagasta,CL,2020-11-02 03:26:56,-23.65,-70.4,59.0,82,40,10.29
149,Skibbereen,IE,2020-11-02 03:23:37,51.55,-9.27,44.6,93,75,11.41
150,Sumbe,AO,2020-11-02 03:26:57,-11.21,13.84,76.6,88,88,4.43
151,Jamtara,IN,2020-11-02 03:26:57,23.95,86.8,80.6,69,0,4.7
152,Valverde Del Camino,ES,2020-11-02 03:26:57,37.58,-6.75,61.0,69,66,4.0
153,Cayenne,GF,2020-11-02 03:23:17,4.93,-52.33,75.2,100,75,3.36
154,Sharlyk,RU,2020-11-02 03:25:39,52.92,54.75,37.58,90,1,10.94
155,Champerico,GT,2020-11-02 03:26:57,14.3,-91.92,66.0,96,68,0.63
156,Glencoe,ZA,2020-11-02 03:26:58,-28.18,30.15,51.71,98,97,0.65
157,El Dorado,US,2020-11-02 03:26:58,38.77,-120.52,68.0,18,1,5.82
158,Soe,ID,2020-11-02 03:26:58,-9.86,124.28,88.57,29,44,11.45
159,Broome,US,2020-11-02 03:26:58,42.25,-75.83,35.01,96,20,10.29
160,Sakakah,SA,2020-11-02 03:22:45,29.97,40.21,68.0,42,40,4.7
161,Qiongshan,CN,2020-11-02 03:26:58,20.01,110.35,80.6,74,40,8.95
162,Gizo,SB,2020-11-02 03:26:59,-8.1,156.84,85.21,69,37,2.44
163,Slave Lake,CA,2020-11-02 03:26:59,55.28,-114.77,39.2,80,1,2.24
164,Evensk,RU,2020-11-02 03:23:28,61.95,159.23,24.22,91,100,2.73
165,Namibe,AO,2020-11-02 03:26:59,-15.2,12.15,69.46,79,10,3.62
166,Chokurdakh,RU,2020-11-02 03:26:59,70.63,147.92,-1.43,93,100,12.73
167,Ponta Do Sol,PT,2020-11-02 03:26:59,32.67,-17.1,66.2,72,40,2.24
168,Nanortalik,GL,2020-11-02 03:26:59,60.14,-45.24,32.4,89,0,37.65
169,Coxim,BR,2020-11-02 03:23:00,-18.51,-54.76,74.28,50,0,6.6
170,Norman Wells,CA,2020-11-02 03:26:59,65.28,-126.83,-2.2,84,75,2.24
171,Grootfontein,NA,2020-11-02 03:26:59,-19.57,18.12,72.32,30,22,8.1
172,Torbay,CA,2020-11-02 03:22:16,47.67,-52.73,39.0,74,75,17.22
173,Ahipara,NZ,2020-11-02 03:23:51,-35.17,173.17,69.71,75,100,9.22
174,Ahuimanu,US,2020-11-02 03:27:00,21.44,-157.84,80.6,65,40,4.7
175,Rundu,NA,2020-11-02 03:22:22,-17.93,19.77,72.16,45,58,1.34
176,Can Tho,VN,2020-11-02 03:27:00,10.03,105.78,84.2,83,75,5.82
177,Clyde River,CA,2020-11-02 03:23:17,70.47,-68.59,8.6,78,20,16.11
178,Bangassou,CF,2020-11-02 03:27:00,4.74,22.82,68.86,95,97,1.43
179,Komsomolskiy,UZ,2020-11-02 03:23:02,40.43,71.72,44.6,36,100,6.93
180,Pemberton,CA,2020-11-02 03:22:46,50.32,-122.8,42.8,100,76,1.12
181,Onguday,RU,2020-11-02 03:27:01,50.75,86.15,30.15,84,25,2.59
182,Alofi,NU,2020-11-02 03:27:01,-19.06,-169.92,78.8,83,75,17.22
183,Husavik,IS,2020-11-02 03:27:01,66.04,-17.34,39.2,51,20,5.82
184,Hami,CN,2020-11-02 03:27:01,42.8,93.45,50.22,40,19,6.64
185,Houma,US,2020-11-02 03:23:31,29.6,-90.72,63.0,67,1,10.29
186,Varhaug,NO,2020-11-02 03:27:01,58.61,5.65,55.0,99,100,17.0
187,Daru,PG,2020-11-02 03:27:02,-9.08,143.21,85.01,73,83,11.88
188,Pekalongan,ID,2020-11-02 03:27:02,-6.89,109.68,64.0,75,100,2.35
189,Esperance,AU,2020-11-02 03:27:02,-33.87,121.9,69.8,77,90,17.22
190,Sao Filipe,CV,2020-11-02 03:27:02,14.9,-24.5,78.08,78,67,3.42
191,Marsa Matruh,EG,2020-11-02 03:27:02,31.35,27.25,64.4,88,40,7.4
192,Fort Nelson,CA,2020-11-02 03:27:02,58.81,-122.7,14.0,78,90,8.05
193,Kodiak,US,2020-11-02 03:23:27,57.79,-152.41,30.2,39,90,12.75
194,Chateauroux,FR,2020-11-02 03:27:02,46.82,1.7,62.6,77,90,11.41
195,Leningradskiy,RU,2020-11-02 03:23:21,69.38,178.42,17.8,83,84,4.41
196,Rawson,AR,2020-11-02 03:27:03,-43.3,-65.1,74.1,27,90,24.16
197,Nhulunbuy,AU,2020-11-02 03:22:25,-12.23,136.77,91.4,49,10,10.29
